# Speed Limit System Log
# Format: [TIMESTAMP] SPEED(km/h) | TYPE | HAZARDS | MODELS | REASONING | REUSED
# ================================================================================

[2025-11-25 23:24:53] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-27 07:15:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:16:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:17:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:18:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:19:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:20:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:21:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:22:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:23:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:24:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:25:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:26:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:27:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:28:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:29:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:30:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:31:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:32:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:33:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:34:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:35:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:36:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:37:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:38:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:39:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:40:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:44:01] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:44:07]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:44:37]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:45:07]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:45:37]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:46:07]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:46:37] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:46:56]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:47:00]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:47:02]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:60, LLM:50        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 07:47:02]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:60, LLM:50        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected; (Result reused from cache due to throttling) | [REUSED]
[2025-11-27 07:47:37]  60 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:60                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:48:07]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:48:37]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:49:07]  60 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:60                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:49:11] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:49:40] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:49:40] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-27 07:49:40] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-27 07:49:40] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-27 07:50:11]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:50:41]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 07:51:11] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:51:41] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 07:52:11] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 10:06:28] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 10:43:05]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 11:44:01]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 12:02:09] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 12:45:08]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 13:46:02]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-27 13:46:32] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 15:04:12]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:70, LLM:50        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 17:23:13] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 18:39:52]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 19:44:25] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:07:13]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:60, LLM:50        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 20:07:43]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:08:13] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:08:43] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:10:24]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:10:54]  50 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:50               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-27 20:11:24]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:11:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:12:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:12:54]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:13:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:13:54]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-27 20:14:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:14:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:15:24]  60 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:60                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:15:54]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:16:24]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:16:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:17:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:17:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:18:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:18:54]  50 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:50               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-27 20:19:24]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:19:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:20:24]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:20:54]  50 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:50               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-27 20:21:24]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:21:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:22:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:22:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:23:24]  60 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:60                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:23:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:24:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:24:54]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:25:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:25:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:26:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:26:54]  60 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:60                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:27:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:27:54]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:28:24]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:28:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:29:24]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:29:53] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:30:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:30:53]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:31:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:31:53]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:32:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:32:53] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:33:23]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:33:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:34:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:34:53] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:35:23]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:35:54]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:36:24] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:36:54]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:37:24]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:37:54]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:38:30]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:38:30]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected; (Result reused from cache due to throttling) | [REUSED]
[2025-11-27 20:39:23] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:39:53]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:40:24]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:40:54] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:41:30] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:42:30]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:43:30] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:44:30] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:45:30] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:46:30]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:47:30] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:48:30] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:49:30]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-27 20:50:30]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:51:30]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:70, LLM:50        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 20:52:30] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:53:30]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:55:14]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:55:44] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:56:14]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:70, LLM:50        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 20:56:44]  60 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:70, LLM:60        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 20:57:14]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:57:44] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 20:58:21]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 20:59:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:00:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:01:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:02:21]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 21:03:22] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:04:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:05:21]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 21:06:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:07:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:08:21]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 21:09:21]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 21:10:21]  60 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:60                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 21:11:21]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:70, LLM:50        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-27 21:12:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:13:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:14:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:15:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:16:21]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 21:17:21]  70 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:70                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 21:18:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:19:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:20:21]  40 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:40                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 21:21:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:22:21]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-27 21:23:21]  60 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:60                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-27 21:24:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-27 21:25:21] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
