Month,Day,Hour,H,L,N,T,W,WD,WS,SpeedLimit,near_accident
1,3,9,78.41,34877.926666666666,100.68,1.1400000000000006,0.0,0.0,23.5,80.0,0
1,3,10,84.01,56805.75,99.33,1.2233333333333327,0.0,117.0,2.5,80.0,1
1,3,11,76.05,34503.53666666667,97.58,0.8566666666666665,149.4466666666667,90.5,2.5,80.0,1
1,3,12,80.68,66909.56,96.0,-1.11,0.0,23.0,3.5,80.0,1
1,3,13,85.42,92695.69,94.22,-1.2266666666666666,0.0,67.5,7.0,80.0,0
1,3,14,72.52,95644.51666666666,97.05,0.11666666666666685,0.0,2.0,23.5,80.0,1
1,3,15,80.29,53838.513333333336,97.8,1.2166666666666661,0.0,67.0,37.0,80.0,1
1,3,16,79.78,42145.67333333333,97.36,2.103333333333333,0.0,65.5,6.0,80.0,1
1,3,17,72.4,22790.13,98.67,2.226666666666666,0.0,4.5,2.0,80.0,0
1,3,18,100.0,0.21,101.44,3.566666666666667,1647.36,7.0,0.0,60.0,0
1,3,19,88.31,0.10333333333333333,99.28,2.1566666666666663,1321.7033333333334,4.5,9.0,70.0,0
1,3,20,87.98,0.07333333333333335,99.05,3.5066666666666673,1790.2699999999998,0.0,7.5,60.0,1
1,3,21,92.37,0.20666666666666667,96.8,2.696666666666667,1233.3566666666666,73.5,2.5,60.0,1
1,3,22,95.54,0.12666666666666668,94.24,1.49,1227.59,2.0,5.0,60.0,1
1,3,23,100.0,0.12,87.44,0.08666666666666689,1774.6233333333332,6.0,3.0,50.0,1
1,4,0,97.37,0.18666666666666668,83.02,-0.5499999999999999,999.2666666666668,43.5,5.0,40.0,0
1,4,1,98.58,0.03,84.42,1.3033333333333335,1655.0033333333333,70.5,6.0,70.0,1
1,4,2,92.7,0.14,81.57,1.24,1831.4866666666667,7.0,26.5,60.0,1
1,4,3,86.75,0.17333333333333334,82.83,2.23,125.66666666666667,31.5,5.5,70.0,1
1,4,4,92.57,0.09666666666666668,81.69,4.613333333333333,1716.46,45.0,0.0,60.0,0
1,4,5,100.0,0.12,83.1,5.136666666666667,1654.1599999999999,18.5,23.5,60.0,1
1,4,6,86.51,0.09000000000000001,83.58,6.283333333333334,476.84999999999997,55.0,7.5,60.0,0
1,4,7,81.03,0.06666666666666667,83.89,7.873333333333334,694.6633333333333,85.5,28.0,70.0,0
1,4,8,94.28,0.14666666666666667,84.13,9.049999999999999,2113.1433333333334,21.0,5.5,60.0,1
1,4,9,96.99,18032.31,87.32,9.773333333333333,1273.9133333333332,0.0,18.0,80.0,0
1,4,10,92.76,37648.83666666666,94.59,11.74,1650.493333333333,4.5,13.0,80.0,0
1,4,11,100.0,34790.456666666665,91.37,10.19,2132.3566666666666,88.5,5.0,80.0,1
1,4,12,75.77,68610.81999999999,88.8,8.91,0.0,16.0,6.5,80.0,1
1,4,13,83.13,60895.65666666667,88.1,9.896666666666667,0.0,0.0,11.0,80.0,0
1,4,14,97.37,52720.44999999999,89.17,9.71,1533.2666666666667,0.0,39.5,80.0,1
1,4,15,86.68,55555.47,90.52,9.69,0.0,116.0,48.0,80.0,1
1,4,16,83.62,37275.17333333333,93.18,11.836666666666666,0.0,2.5,4.0,80.0,1
1,4,17,95.26,14878.08,93.46,11.826666666666668,1754.7366666666667,1.0,1.0,80.0,1
1,4,18,81.15,0.16,91.09,10.566666666666666,0.0,0.0,6.0,60.0,1
1,4,19,97.88,0.17,90.94,9.053333333333333,1353.6266666666668,84.5,44.5,60.0,0
1,4,20,83.17,0.16666666666666666,89.91,8.903333333333334,0.0,86.0,86.0,60.0,0
1,4,21,73.05,0.09000000000000001,86.76,6.546666666666667,0.0,182.5,22.5,70.0,1
1,4,22,80.9,0.02666666666666667,84.62,5.146666666666667,0.0,0.0,0.0,60.0,1
1,4,23,74.04,0.1366666666666667,85.13,4.183333333333334,0.0,75.5,4.0,60.0,1
1,5,0,76.1,0.17333333333333334,83.63,2.23,0.0,3.0,7.5,60.0,0
1,5,1,76.32,0.15,85.0,0.8300000000000001,0.0,21.0,21.5,60.0,0
1,5,2,81.87,0.03,84.13,0.6100000000000002,0.0,72.0,0.0,60.0,1
1,5,3,72.42,0.18333333333333335,88.81,0.3799999999999999,111.14666666666666,16.5,0.0,60.0,1
1,5,4,100.0,0.07666666666666667,89.73,1.0766666666666669,1918.0900000000001,15.5,2.0,50.0,1
1,5,5,83.56,0.14333333333333334,95.99,4.923333333333333,924.3833333333333,76.0,4.0,70.0,0
1,5,6,87.14,0.05000000000000001,104.63,9.32,488.74666666666667,18.0,7.5,60.0,1
1,5,7,87.31,3026.9366666666665,104.4,10.383333333333333,783.5366666666667,15.5,30.5,80.0,0
1,5,8,81.19,5672.333333333333,103.76,10.03,844.1333333333333,87.0,65.5,80.0,1
1,5,9,72.1,34053.39333333333,101.37,10.25,0.0,157.5,100.0,80.0,1
1,5,10,83.51,56060.579999999994,100.35,10.33,0.0,183.0,113.5,80.0,1
1,5,11,71.25,112025.46,103.01,13.566666666666668,0.0,183.5,125.5,80.0,0
1,5,12,79.94,110673.71666666667,106.57,15.17,0.0,251.5,104.5,80.0,1
1,5,13,85.81,101283.96666666667,106.06,15.603333333333333,0.0,187.5,91.0,80.0,1
1,5,14,78.8,93526.42,104.31,15.04,0.0,0.0,47.0,80.0,1
1,5,15,81.78,46093.98,102.32,14.716666666666667,907.3466666666667,0.0,37.5,80.0,1
1,5,16,85.16,23333.426666666666,99.24,13.469999999999999,605.3766666666667,57.0,0.0,80.0,0
1,5,17,86.97,11245.716666666665,97.0,12.883333333333335,1054.2533333333333,0.0,0.0,80.0,1
1,5,18,81.25,0.10333333333333333,98.13,13.323333333333332,0.0,1.5,7.0,60.0,0
1,5,19,71.46,0.12333333333333334,99.17,11.673333333333334,0.0,81.5,30.5,70.0,0
1,5,20,76.34,0.16666666666666666,95.35,8.883333333333333,0.0,5.5,0.0,50.0,1
1,5,21,75.64,0.21666666666666667,90.68,5.543333333333333,0.0,0.0,1.5,60.0,1
1,5,22,82.65,0.17333333333333334,89.15,2.4633333333333334,0.0,2.0,6.0,70.0,0
1,5,23,85.32,0.08333333333333333,87.46,0.20666666666666655,0.0,71.0,1.0,50.0,0
1,6,0,86.68,0.08,85.27,-3.3366666666666664,0.0,1.5,0.0,60.0,0
1,6,1,84.34,0.07333333333333335,82.11,-5.62,0.0,0.0,2.5,60.0,1
1,6,2,75.6,0.056666666666666664,82.71,-5.776666666666666,0.0,0.0,13.5,60.0,0
1,6,3,76.1,0.03,82.61,-7.66,0.0,124.0,0.0,40.0,0
1,6,4,85.3,0.12333333333333334,81.09,-8.606666666666667,0.0,49.5,0.0,70.0,1
1,6,5,80.28,0.01,81.54,-7.510000000000001,0.0,0.0,7.5,70.0,0
1,6,6,72.92,6754.236666666667,83.67,-7.156666666666666,0.0,66.0,1.5,80.0,1
1,6,7,72.03,14711.269999999999,84.66,-5.996666666666666,0.0,55.5,2.5,80.0,1
1,6,8,77.0,19885.946666666667,85.48,-7.05,0.0,58.5,0.0,80.0,1
1,6,9,78.32,34644.566666666666,89.69,-4.913333333333333,0.0,0.0,31.0,80.0,1
1,6,10,73.39,78300.58666666667,95.0,-1.623333333333333,0.0,98.5,19.5,80.0,0
1,6,11,79.92,76051.72333333333,92.0,-0.8700000000000001,0.0,40.0,0.0,80.0,1
1,6,12,75.17,84579.92333333334,90.77,-0.846666666666667,0.0,0.0,4.0,80.0,1
1,6,13,73.77,93740.07,90.21,-0.9833333333333337,0.0,7.0,46.0,80.0,1
1,6,14,73.39,75869.23,91.78,-0.1033333333333335,0.0,6.0,8.0,80.0,1
1,6,15,76.24,96784.31,92.71,1.0399999999999998,0.0,37.0,0.0,80.0,0
1,6,16,80.47,79544.34999999999,93.21,2.7133333333333334,0.0,0.5,0.0,80.0,1
1,6,17,79.02,50250.21,94.29,2.9600000000000004,0.0,0.0,0.0,80.0,0
1,6,18,84.52,20896.149999999998,93.81,3.85,0.0,6.0,0.0,80.0,1
1,6,19,82.76,0.02,90.31,2.996666666666666,0.0,7.5,0.0,60.0,1
1,6,20,81.76,0.08,88.74,0.07333333333333296,0.0,3.0,3.5,60.0,0
1,6,21,71.65,0.18666666666666668,86.68,-0.5833333333333334,0.0,35.0,20.0,50.0,0
1,6,22,79.68,0.11,86.64,-2.2666666666666666,0.0,76.5,0.0,60.0,0
1,6,23,85.08,0.13,83.66,-4.113333333333333,0.0,7.5,0.0,60.0,1
1,7,0,85.06,0.15,86.6,-5.0600000000000005,0.0,0.0,0.5,50.0,0
1,7,1,75.52,0.21333333333333335,83.59,-6.8566666666666665,0.0,80.0,4.0,50.0,1
1,7,2,86.02,0.03,84.37,-7.586666666666667,0.0,1.0,0.5,60.0,0
1,7,3,80.04,0.08666666666666667,86.31,-5.713333333333334,0.0,3.0,5.0,60.0,1
1,7,4,76.77,0.0,88.12,-5.513333333333333,0.0,6.0,17.0,60.0,1
1,7,5,86.08,0.07,91.67,-4.5,0.0,6.0,51.5,70.0,1
1,7,6,71.03,10354.216666666667,103.34,-0.9366666666666669,0.0,73.0,31.0,80.0,1
1,7,7,72.95,15643.81,107.83,1.4766666666666666,0.0,0.0,60.0,80.0,1
1,7,8,86.35,15255.686666666666,107.65,0.6133333333333333,0.0,35.0,58.0,80.0,1
1,7,9,85.91,41582.64000000001,107.18,1.28,0.0,90.5,69.5,80.0,0
1,7,10,81.72,46004.619999999995,105.21,1.17,562.3266666666667,2.0,1.5,80.0,1
1,7,11,82.81,58535.93666666667,102.08,0.5333333333333332,135.77333333333334,0.0,6.0,80.0,0
1,7,12,85.4,76275.65000000001,99.4,-0.28999999999999976,0.0,2.5,0.0,80.0,1
1,7,13,79.46,105251.38666666666,97.99,-0.13333333333333344,0.0,0.0,31.5,60.0,1
1,7,14,76.35,97027.05,102.43,2.5999999999999996,0.0,5.0,0.0,80.0,1
1,7,15,86.04,102386.58666666667,103.53,5.303333333333334,0.0,82.5,0.0,80.0,1
1,7,16,74.35,86454.69,106.05,7.09,0.0,0.0,29.5,80.0,1
1,7,17,76.32,53145.763333333336,108.17,8.959999999999999,0.0,95.5,0.0,80.0,1
1,7,18,74.95,21498.596666666665,107.51,7.6000000000000005,0.0,6.0,0.0,80.0,1
1,7,19,83.47,0.18666666666666668,103.71,5.386666666666667,0.0,0.0,21.5,60.0,1
1,7,20,71.71,0.09333333333333334,101.66,2.5466666666666673,0.0,95.5,1.0,60.0,1
1,7,21,77.61,0.16333333333333333,95.79,-0.7400000000000002,0.0,0.0,0.5,60.0,1
1,7,22,81.88,0.09666666666666668,92.39,-3.5933333333333337,0.0,0.0,2.5,70.0,1
1,7,23,80.98,0.18000000000000002,89.96,-5.136666666666667,0.0,23.5,0.0,60.0,1
1,8,0,80.54,0.07,85.51,-6.396666666666666,0.0,3.5,2.5,60.0,0
1,8,1,74.0,0.10333333333333333,85.14,-7.739999999999999,0.0,7.5,15.0,60.0,1
1,8,2,79.62,0.10666666666666667,85.03,-7.376666666666668,0.0,3.0,8.5,60.0,0
1,8,3,80.96,0.15666666666666665,86.4,-7.543333333333333,0.0,46.0,34.0,70.0,0
1,8,4,77.77,0.17,88.37,-6.21,0.0,27.5,17.5,60.0,1
1,8,5,73.95,0.08333333333333333,90.13,-5.13,0.0,0.0,12.0,70.0,1
1,8,6,76.86,8473.753333333334,103.28,-0.9900000000000002,0.0,72.5,5.0,80.0,1
1,8,7,97.6,8563.089999999998,107.97,1.903333333333333,1946.2066666666667,0.0,5.5,70.0,1
1,8,8,86.12,16157.576666666668,107.07,2.7133333333333334,0.0,4.5,0.5,80.0,1
1,8,9,95.25,27392.899999999998,107.55,1.33,1934.68,0.0,7.5,60.0,1
1,8,10,96.26,29900.766666666663,104.5,3.293333333333333,1399.2466666666667,0.0,7.5,70.0,1
1,8,11,83.41,67856.46,102.18,3.603333333333334,0.0,5.5,22.0,80.0,1
1,8,12,79.89,78981.14333333333,100.38,4.1000000000000005,0.0,0.0,50.0,80.0,0
1,8,13,73.79,102144.73999999999,99.59,3.333333333333334,0.0,0.0,80.0,80.0,1
1,8,14,76.27,108222.61666666665,100.6,6.023333333333333,0.0,101.5,68.0,80.0,1
1,8,15,84.56,86555.01333333334,103.25,8.796666666666667,0.0,7.0,76.5,80.0,1
1,8,16,81.57,62401.700000000004,107.65,11.713333333333333,0.0,95.5,41.5,80.0,1
1,8,17,96.02,31257.52,109.58,15.299999999999999,1321.6633333333332,81.5,82.0,80.0,1
1,8,18,79.3,10123.25,106.58,15.58,619.7066666666666,176.5,102.5,80.0,1
1,8,19,82.77,0.1366666666666667,105.63,15.013333333333334,0.0,87.5,60.0,60.0,1
1,8,20,100.0,0.12333333333333334,100.96,11.893333333333333,1511.3700000000001,20.5,0.5,60.0,1
1,8,21,100.0,0.09333333333333334,95.02,11.08,2011.4833333333333,27.0,8.5,40.0,1
1,8,22,92.17,0.18333333333333335,93.66,9.516666666666667,819.5833333333334,0.0,21.0,60.0,1
1,8,23,77.27,0.043333333333333335,89.78,8.183333333333332,587.9033333333333,8.5,34.5,50.0,1
1,9,0,97.81,0.21,86.85,8.64,1288.5333333333333,0.0,3.5,60.0,0
1,9,1,92.7,0.006666666666666667,86.16,8.763333333333334,694.65,89.5,0.0,60.0,0
1,9,2,73.39,0.0,83.96,9.08,19.543333333333333,4.5,21.0,60.0,0
1,9,3,96.65,0.01,86.4,8.61,1591.2333333333333,86.0,3.5,60.0,1
1,9,4,73.36,0.16,88.92,9.026666666666666,0.0,58.0,1.5,70.0,1
1,9,5,95.62,0.20333333333333334,90.88,8.806666666666667,1443.2733333333333,1.5,4.5,70.0,1
1,9,6,80.84,3672.013333333334,99.27,12.026666666666666,330.5133333333333,0.0,0.0,80.0,1
1,9,7,90.16,2034.21,108.94,15.83,569.9499999999999,0.0,0.0,80.0,1
1,9,8,99.83,6186.923333333333,109.18,17.286666666666665,1827.5,0.0,44.0,80.0,0
1,9,9,80.83,0.15666666666666665,108.14,16.19333333333333,60.65,102.5,7.5,60.0,0
1,9,10,89.97,9006.11,104.26,14.280000000000001,486.1133333333333,12.5,3.5,80.0,1
1,9,11,86.37,32331.84,105.19,13.153333333333334,79.87666666666667,6.0,2.5,80.0,1
1,9,12,100.0,12386.986666666666,106.99,14.623333333333333,2056.2766666666666,7.5,31.5,80.0,1
1,9,13,93.08,2979.0,109.76,14.5,1926.2966666666669,85.0,57.5,80.0,1
1,9,14,83.28,6448.796666666666,106.89,11.81,432.2366666666667,139.0,64.5,80.0,1
1,9,15,90.88,42901.166666666664,105.95,8.943333333333333,1506.4566666666667,2.5,26.0,60.0,0
1,9,16,95.36,24544.263333333332,103.21,7.536666666666666,1812.8033333333333,54.0,0.0,70.0,1
1,9,17,74.37,34368.12333333333,101.82,6.366666666666667,0.0,3.5,0.0,80.0,0
1,9,18,100.0,11826.343333333332,100.15,7.5566666666666675,2015.3033333333333,68.0,0.0,80.0,1
1,9,19,86.67,0.18000000000000002,99.76,8.273333333333333,0.0,0.0,1.0,60.0,1
1,9,20,71.07,0.09666666666666668,100.41,5.920000000000001,0.0,3.5,7.5,60.0,1
1,9,21,80.02,0.12,94.9,3.3700000000000006,0.0,4.5,2.0,60.0,0
1,9,22,78.68,0.05000000000000001,94.54,0.31333333333333346,0.0,13.5,24.0,50.0,1
1,9,23,79.54,0.18666666666666668,90.5,-1.2266666666666663,0.0,133.0,1.5,60.0,1
1,10,0,72.78,0.07,86.31,-3.34,0.0,0.0,1.0,60.0,0
1,10,1,74.25,0.11666666666666665,83.13,-5.25,0.0,0.0,41.5,60.0,1
1,10,2,81.3,0.13333333333333333,83.17,-7.453333333333333,0.0,53.0,40.5,70.0,0
1,10,3,84.07,0.08,85.71,-7.026666666666666,0.0,90.0,89.0,60.0,0
1,10,4,80.7,0.07666666666666667,87.72,-5.913333333333334,588.8133333333334,175.0,50.5,60.0,0
1,10,5,84.31,0.16333333333333333,87.79,-4.553333333333334,529.4,97.5,50.5,60.0,1
1,10,6,80.16,4358.863333333334,91.47,-3.1733333333333333,346.4066666666667,3.0,0.0,80.0,1
1,10,7,77.7,8513.636666666667,91.19,-1.4600000000000002,511.62999999999994,0.0,7.0,80.0,1
1,10,8,100.0,8832.58,96.84,0.5933333333333334,1871.493333333333,0.0,53.0,60.0,1
1,10,9,94.91,27059.86,103.41,3.316666666666667,910.14,0.0,58.0,80.0,1
1,10,10,83.61,38957.52333333334,101.94,3.2300000000000004,549.7066666666666,146.0,0.0,80.0,1
1,10,11,89.3,33615.416666666664,97.7,3.4066666666666663,943.5266666666666,0.0,13.0,80.0,0
1,10,12,88.63,24380.88,96.04,3.4433333333333334,1197.1833333333334,7.0,37.0,50.0,0
1,10,13,100.0,5999.766666666666,95.39,1.11,1913.7700000000002,0.0,0.0,60.0,1
1,10,14,81.6,20144.143333333333,98.26,1.570000000000001,681.6466666666666,2.5,4.5,80.0,1
1,10,15,88.69,52477.96,97.94,1.4966666666666668,1585.4766666666667,0.0,22.5,50.0,1
1,10,16,79.81,25171.786666666667,98.66,1.7400000000000002,122.06,7.0,0.0,80.0,1
1,10,17,100.0,28329.586666666666,101.16,2.243333333333334,1525.4899999999998,0.0,42.5,60.0,0
1,10,18,100.0,7624.25,101.59,4.436666666666667,1731.3133333333335,13.0,23.5,70.0,0
1,10,19,93.7,0.01,99.92,5.319999999999999,1091.51,54.5,20.5,70.0,0
1,10,20,76.12,0.15,99.31,5.31,0.0,107.0,48.0,70.0,1
1,10,21,79.4,0.12333333333333334,99.48,4.430000000000001,0.0,9.0,7.0,70.0,1
1,10,22,74.81,0.07666666666666667,95.0,1.6333333333333329,0.0,82.0,0.0,60.0,0
1,10,23,79.81,0.12333333333333334,88.85,-2.3233333333333333,0.0,0.0,0.0,60.0,1
1,11,0,72.38,0.08333333333333333,83.47,-5.3,0.0,0.5,0.0,50.0,0
1,11,1,75.66,0.02,81.5,-7.213333333333334,0.0,79.5,21.0,60.0,1
1,11,2,81.45,0.09000000000000001,83.68,-6.686666666666667,0.0,71.5,9.5,60.0,0
1,11,3,97.02,0.06666666666666667,80.69,-6.716666666666666,1568.0966666666666,94.5,0.0,60.0,1
1,11,4,94.64,0.10333333333333333,82.63,-5.003333333333334,1875.3366666666668,0.0,20.5,50.0,1
1,11,5,77.0,0.20666666666666667,82.84,-3.9633333333333334,0.0,18.0,0.0,70.0,1
1,11,6,89.59,5644.420000000001,84.06,-5.066666666666667,1736.6933333333334,13.0,31.5,70.0,1
1,11,7,74.2,9610.796666666667,82.61,-4.1033333333333335,0.0,101.0,1.0,60.0,1
1,11,8,91.42,7058.003333333334,84.2,-3.733333333333333,1392.0900000000001,30.0,21.5,50.0,1
1,11,9,85.08,39571.21,87.09,-0.5766666666666668,0.0,0.0,3.5,80.0,1
1,11,10,83.75,68201.91333333333,92.24,1.11,0.0,37.0,4.5,80.0,1
1,11,11,73.55,62979.869999999995,91.82,1.2766666666666668,0.0,4.5,0.0,80.0,1
1,11,12,85.17,37939.329999999994,90.35,2.066666666666667,1362.2833333333335,42.5,31.0,60.0,1
1,11,13,90.42,46624.943333333336,88.32,2.3966666666666665,1191.5666666666666,76.0,0.0,70.0,1
1,11,14,93.68,42985.573333333334,89.53,3.6199999999999997,2142.36,3.5,0.0,80.0,1
1,11,15,86.51,60621.01666666666,92.11,4.456666666666667,0.0,0.0,16.5,80.0,1
1,11,16,80.53,59446.27333333334,93.57,4.1433333333333335,0.0,0.0,0.0,80.0,1
1,11,17,77.1,54353.64666666667,93.17,4.27,0.0,78.5,6.0,80.0,1
1,11,18,79.49,17707.836666666666,92.5,3.5499999999999994,0.0,26.5,0.0,80.0,0
1,11,19,81.7,0.16333333333333333,92.57,2.4733333333333336,0.0,3.5,19.0,60.0,1
1,11,20,76.11,0.11666666666666665,89.65,-0.25333333333333324,0.0,106.5,0.0,60.0,1
1,11,21,74.51,0.03,88.51,-2.7133333333333334,0.0,1.5,4.5,60.0,1
1,11,22,84.36,0.18333333333333335,85.37,-3.8233333333333337,0.0,2.5,0.0,60.0,1
1,11,23,85.36,0.14,83.55,-5.396666666666666,0.0,0.0,3.5,70.0,1
1,12,0,78.34,0.16333333333333333,85.75,-6.333333333333333,0.0,31.0,0.0,50.0,0
1,12,1,80.71,0.16333333333333333,84.3,-6.156666666666666,0.0,7.5,0.0,70.0,1
1,12,2,80.57,0.13,85.07,-7.140000000000001,0.0,7.5,5.0,60.0,1
1,12,3,77.71,0.19999999999999998,84.94,-7.303333333333334,0.0,64.5,5.0,60.0,0
1,12,4,83.9,0.07333333333333335,88.83,-4.983333333333333,167.22333333333333,80.5,0.0,60.0,1
1,12,5,76.0,0.08,92.13,-3.3200000000000003,0.0,56.0,5.0,60.0,0
1,12,6,76.42,10863.523333333333,104.78,-0.6299999999999996,0.0,20.5,9.0,80.0,1
1,12,7,85.01,12284.266666666668,108.64,1.4533333333333331,0.0,57.0,0.0,80.0,0
1,12,8,74.94,20438.836666666666,110.25,2.176666666666666,0.0,48.0,0.0,80.0,0
1,12,9,82.03,36795.34,108.78,0.6499999999999998,0.0,9.0,0.0,80.0,1
1,12,10,74.44,85386.48666666668,103.87,1.7533333333333339,0.0,1.5,2.5,80.0,1
1,12,11,73.16,88609.72000000002,104.71,1.9266666666666665,0.0,0.0,0.0,60.0,1
1,12,12,72.12,88493.59333333334,101.56,3.7266666666666666,0.0,11.5,6.5,80.0,1
1,12,13,85.85,106064.65333333334,100.85,5.816666666666666,0.0,2.0,3.5,80.0,1
1,12,14,72.89,95446.19,102.74,7.79,0.0,79.0,6.5,80.0,1
1,12,15,71.48,99638.20666666667,104.43,9.75,0.0,2.5,20.5,80.0,1
1,12,16,86.31,79561.50333333334,108.86,13.476666666666667,0.0,111.5,0.5,60.0,0
1,12,17,77.52,50993.78,109.45,15.303333333333333,0.0,22.0,0.0,60.0,1
1,12,18,82.53,22155.843333333334,107.78,15.42,0.0,40.0,0.0,80.0,1
1,12,19,74.19,0.0,105.82,13.1,0.0,0.0,0.0,70.0,1
1,12,20,81.77,0.08,102.13,11.033333333333333,0.0,0.0,0.0,60.0,1
1,12,21,74.92,0.14,97.17,8.646666666666667,0.0,5.5,35.0,60.0,0
1,12,22,76.25,0.09000000000000001,94.38,6.78,0.0,11.5,28.5,70.0,1
1,12,23,85.52,0.10000000000000002,88.83,4.703333333333333,0.0,5.0,7.5,40.0,1
